Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
,Garema Place Surgery,"Level 1, Florina Building, Garema Place",Canberra City,26/08/2021 - Thursday,11:00am,12:20pm,Casual,Casual 
,Wokitup! Kippax,118 Hardwick Crescent,Holt,25/08/2021 - Wednesday,6:50pm,7:30pm,Monitor,Monitor 
,Grill'd Belconnen,301 Benjamin Way,Belconnen,25/08/2021 - Wednesday,7:40pm,8:10pm,Monitor,Monitor 
,Kingsley's Chicken Westfield Woden,"Westfield Woden, Keltie Street",Phillip,26/08/2021 - Thursday,2:00pm,2:40pm,Monitor,Monitor 
,Espresso Room Westfield Woden,"Westfield Woden, Keltie Street",Phillip,26/08/2021 - Thursday,2:00pm,2:45pm,Monitor,Monitor 
,Kingsley's Chicken Westfield Woden,"Westfield Woden, Keltie Street",Phillip,27/08/2021 - Friday,2:15pm,3:00pm,Monitor,Monitor 
,Ampol Foodary Weston,49 Brierly Street,Weston,28/08/2021 - Saturday,5:40pm,6:20pm,Monitor,Monitor 
,JAGA Swanson Court,"Level 1, 11-17 Swanson Court",Belconnen,27/08/2021 - Friday,10:00am,11:00am,Monitor,Monitor 
,Costco Canberra,39-41 Mustang Avenue,Majura Park,25/08/2021 - Wednesday,4:15pm,5:15pm,Casual,Casual 
,Priceline Pharmacy Tuggeranong,"Hyperdome Shopping Centre, 148 Anketell Street",Greenway,25/08/2021 - Wednesday,3:00pm,4:00pm,Monitor,Monitor 
,San Churro Woden,"Westfield Woden, Keltie Street",Woden,26/08/2021 - Thursday,7:00pm,8:00pm,Monitor,Monitor 
,Lanyon Newsagency & Gift Shop,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,26/08/2021 - Thursday,5:00pm,6:00pm,Monitor,Monitor 
,Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,28/08/2021 - Saturday,3:20pm,4:20pm,Casual,Casual 
,Kingsley's Chicken Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,28/08/2021 - Saturday,3:30pm,4:20pm,Casual,Casual 
,Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,24/08/2021 - Tuesday,6:20pm,7:10pm,Monitor,Monitor 
,Chemist Warehouse Woden,24 Corinna Street,Woden,24/08/2021 - Tuesday,2:30pm,4:00pm,Monitor,Monitor 
